run,variable,2025-01-01,2025-01-31,2025-02-01,2025-02-28,2025-03-01,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31,2026-06-30,2026-07-31,2026-08-31,2026-09-30,2026-10-31,2026-11-30,2026-12-31
52,Quantity,,110.0,,70.0,,140.0,110.0,95.0,90.0,100.0,95.0,90.0,110.0,125.0,100.0,100.0,70.0,90.0,110.0,95.0,80.0,100.0,95.0,140.0,100.0,125.0,75.0
52,Price,,9.5,,12.0,,8.8,9.5,10.0,9.8,10.0,10.0,9.8,9.5,9.5,9.0,10.0,12.0,9.8,9.5,10.0,11.0,10.0,10.0,8.8,10.0,9.5,12.3
52,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
53,Quantity,,80.0,,70.0,,90.0,100.0,95.0,75.0,100.0,95.0,90.0,100.0,95.0,140.0,100.0,80.0,90.0,100.0,125.0,90.0,120.0,80.0,100.0,100.0,95.0,100.0
53,Price,,11.5,,12.0,,9.8,10.0,10.0,12.3,10.0,10.0,9.8,10.0,10.0,8.8,10.0,11.0,9.8,10.0,9.5,9.8,9.2,11.0,9.0,10.0,10.0,9.0
53,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
54,Quantity,,120.0,,95.0,,75.0,120.0,95.0,90.0,90.0,95.0,90.0,110.0,70.0,90.0,100.0,125.0,100.0,110.0,70.0,90.0,90.0,95.0,75.0,110.0,125.0,80.0
54,Price,,9.2,,10.0,,12.3,9.2,10.0,9.8,10.5,10.0,9.8,9.5,12.0,9.8,10.0,9.5,9.0,9.5,12.0,9.8,10.5,10.0,12.3,9.5,9.5,11.0
54,DSO,90.0,,60.0,,90.0,,,,,,,,,,,,,,,,,,,,,,
55,Quantity,,100.0,,95.0,,90.0,80.0,125.0,100.0,100.0,80.0,75.0,90.0,130.0,75.0,120.0,95.0,75.0,100.0,95.0,140.0,100.0,95.0,90.0,90.0,95.0,90.0
55,Price,,10.0,,10.0,,9.8,11.5,9.5,9.0,10.0,11.0,12.3,10.5,9.0,12.3,9.2,10.0,12.3,10.0,10.0,8.8,10.0,10.0,9.8,10.5,10.0,9.8
55,DSO,60.0,,45.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
56,Quantity,,100.0,,130.0,,100.0,100.0,70.0,90.0,110.0,125.0,100.0,100.0,95.0,90.0,90.0,95.0,90.0,80.0,95.0,75.0,100.0,125.0,90.0,100.0,70.0,90.0
56,Price,,10.0,,9.0,,9.0,10.0,12.0,9.8,9.5,9.5,9.0,10.0,10.0,9.8,10.5,10.0,9.8,11.5,10.0,12.3,10.0,9.5,9.8,10.0,12.0,9.8
56,DSO,60.0,,60.0,,45.0,,,,,,,,,,,,,,,,,,,,,,
57,Quantity,,90.0,,95.0,,100.0,100.0,95.0,75.0,100.0,125.0,140.0,120.0,125.0,90.0,100.0,125.0,90.0,100.0,95.0,90.0,90.0,95.0,100.0,110.0,95.0,90.0
57,Price,,10.5,,10.0,,9.0,10.0,10.0,12.3,10.0,9.5,8.8,9.2,9.5,9.8,10.0,9.5,9.8,10.0,10.0,9.8,10.5,10.0,9.0,9.5,10.0,9.8
57,DSO,60.0,,45.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
58,Quantity,,110.0,,80.0,,90.0,120.0,95.0,90.0,120.0,80.0,80.0,100.0,95.0,100.0,100.0,70.0,140.0,120.0,95.0,90.0,120.0,125.0,75.0,100.0,80.0,90.0
58,Price,,9.5,,11.0,,9.8,9.2,10.0,9.8,9.2,11.0,11.0,10.0,10.0,9.0,10.0,12.0,8.8,9.2,10.0,9.8,9.2,9.5,12.3,10.0,11.0,9.8
58,DSO,60.0,,60.0,,45.0,,,,,,,,,,,,,,,,,,,,,,
59,Quantity,,100.0,,130.0,,75.0,80.0,125.0,100.0,100.0,95.0,90.0,100.0,95.0,90.0,120.0,95.0,80.0,100.0,130.0,140.0,100.0,70.0,90.0,100.0,95.0,75.0
59,Price,,10.0,,9.0,,12.3,11.5,9.5,9.0,10.0,10.0,9.8,10.0,10.0,9.8,9.2,10.0,11.0,10.0,9.0,8.8,10.0,12.0,9.8,10.0,10.0,12.3
59,DSO,90.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
60,Quantity,,100.0,,95.0,,90.0,100.0,70.0,90.0,80.0,95.0,90.0,90.0,70.0,75.0,90.0,95.0,90.0,80.0,70.0,75.0,100.0,95.0,90.0,90.0,130.0,100.0
60,Price,,10.0,,10.0,,9.8,10.0,12.0,9.8,11.5,10.0,9.8,10.5,12.0,12.3,10.5,10.0,9.8,11.5,12.0,12.3,10.0,10.0,9.8,10.5,9.0,9.0
60,DSO,60.0,,60.0,,90.0,,,,,,,,,,,,,,,,,,,,,,
61,Quantity,,100.0,,95.0,,100.0,90.0,130.0,140.0,110.0,95.0,90.0,100.0,95.0,75.0,80.0,95.0,90.0,100.0,95.0,90.0,80.0,70.0,90.0,80.0,95.0,80.0
61,Price,,10.0,,10.0,,9.0,10.5,9.0,8.8,9.5,10.0,9.8,10.0,10.0,12.3,11.5,10.0,9.8,10.0,10.0,9.8,11.5,12.0,9.8,11.5,10.0,11.0
61,DSO,60.0,,90.0,,90.0,,,,,,,,,,,,,,,,,,,,,,
62,Quantity,,100.0,,125.0,,90.0,100.0,80.0,90.0,100.0,95.0,90.0,80.0,125.0,90.0,110.0,95.0,75.0,90.0,95.0,90.0,110.0,95.0,90.0,100.0,125.0,140.0
62,Price,,10.0,,9.5,,9.8,10.0,11.0,9.8,10.0,10.0,9.8,11.5,9.5,9.8,9.5,10.0,12.3,10.5,10.0,9.8,9.5,10.0,9.8,10.0,9.5,8.8
62,DSO,90.0,,45.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
63,Quantity,,80.0,,70.0,,75.0,100.0,95.0,80.0,90.0,130.0,75.0,110.0,70.0,100.0,100.0,80.0,100.0,100.0,125.0,100.0,100.0,95.0,80.0,100.0,95.0,90.0
63,Price,,11.5,,12.0,,12.3,10.0,10.0,11.0,10.5,9.0,12.3,9.5,12.0,9.0,10.0,11.0,9.0,10.0,9.5,9.0,10.0,10.0,11.0,10.0,10.0,9.8
63,DSO,60.0,,60.0,,45.0,,,,,,,,,,,,,,,,,,,,,,
64,Quantity,,110.0,,95.0,,90.0,110.0,95.0,90.0,100.0,70.0,100.0,100.0,95.0,90.0,100.0,125.0,90.0,110.0,70.0,75.0,100.0,125.0,140.0,120.0,70.0,90.0
64,Price,,9.5,,10.0,,9.8,9.5,10.0,9.8,10.0,12.0,9.0,10.0,10.0,9.8,10.0,9.5,9.8,9.5,12.0,12.3,10.0,9.5,8.8,9.2,12.0,9.8
64,DSO,45.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
65,Quantity,,90.0,,80.0,,100.0,120.0,95.0,100.0,90.0,130.0,75.0,100.0,125.0,140.0,110.0,95.0,90.0,100.0,95.0,100.0,90.0,95.0,90.0,110.0,95.0,90.0
65,Price,,10.5,,11.0,,9.0,9.2,10.0,9.0,10.5,9.0,12.3,10.0,9.5,8.8,9.5,10.0,9.8,10.0,10.0,9.0,10.5,10.0,9.8,9.5,10.0,9.8
65,DSO,45.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
66,Quantity,,110.0,,95.0,,90.0,100.0,95.0,90.0,100.0,70.0,100.0,90.0,95.0,90.0,80.0,95.0,100.0,120.0,95.0,80.0,110.0,80.0,90.0,100.0,130.0,90.0
66,Price,,9.5,,10.0,,9.8,10.0,10.0,9.8,10.0,12.0,9.0,10.5,10.0,9.8,11.5,10.0,9.0,9.2,10.0,11.0,9.5,11.0,9.8,10.0,9.0,9.8
66,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
67,Quantity,,100.0,,95.0,,75.0,100.0,80.0,75.0,110.0,95.0,90.0,120.0,95.0,75.0,100.0,130.0,80.0,100.0,125.0,90.0,100.0,125.0,75.0,100.0,95.0,80.0
67,Price,,10.0,,10.0,,12.3,10.0,11.0,12.3,9.5,10.0,9.8,9.2,10.0,12.3,10.0,9.0,11.0,10.0,9.5,9.8,10.0,9.5,12.3,10.0,10.0,11.0
67,DSO,90.0,,90.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
68,Quantity,,100.0,,130.0,,90.0,80.0,130.0,90.0,100.0,95.0,90.0,100.0,80.0,90.0,100.0,70.0,90.0,80.0,70.0,90.0,100.0,95.0,140.0,80.0,80.0,140.0
68,Price,,10.0,,9.0,,9.8,11.5,9.0,9.8,10.0,10.0,9.8,10.0,11.0,9.8,10.0,12.0,9.8,11.5,12.0,9.8,10.0,10.0,8.8,11.5,11.0,8.8
68,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
69,Quantity,,100.0,,125.0,,140.0,100.0,70.0,80.0,100.0,95.0,90.0,110.0,95.0,90.0,100.0,80.0,90.0,100.0,95.0,140.0,80.0,130.0,100.0,80.0,95.0,75.0
69,Price,,10.0,,9.5,,8.8,10.0,12.0,11.0,10.0,10.0,9.8,9.5,10.0,9.8,10.0,11.0,9.8,10.0,10.0,8.8,11.5,9.0,9.0,11.5,10.0,12.3
69,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
70,Quantity,,100.0,,95.0,,90.0,90.0,125.0,90.0,80.0,95.0,90.0,100.0,125.0,80.0,100.0,125.0,75.0,90.0,95.0,75.0,110.0,95.0,75.0,100.0,70.0,100.0
70,Price,,10.0,,10.0,,9.8,10.5,9.5,9.8,11.5,10.0,9.8,10.0,9.5,11.0,10.0,9.5,12.3,10.5,10.0,12.3,9.5,10.0,12.3,10.0,12.0,9.0
70,DSO,90.0,,60.0,,45.0,,,,,,,,,,,,,,,,,,,,,,
71,Quantity,,80.0,,95.0,,80.0,110.0,95.0,100.0,100.0,125.0,140.0,100.0,70.0,90.0,90.0,95.0,100.0,100.0,125.0,90.0,100.0,95.0,90.0,100.0,95.0,90.0
71,Price,,11.5,,10.0,,11.0,9.5,10.0,9.0,10.0,9.5,8.8,10.0,12.0,9.8,10.5,10.0,9.0,10.0,9.5,9.8,10.0,10.0,9.8,10.0,10.0,9.8
71,DSO,60.0,,45.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
72,Quantity,,120.0,,70.0,,90.0,100.0,95.0,90.0,120.0,80.0,80.0,80.0,95.0,100.0,120.0,95.0,90.0,110.0,80.0,90.0,100.0,70.0,90.0,110.0,125.0,90.0
72,Price,,9.2,,12.0,,9.8,10.0,10.0,9.8,9.2,11.0,11.0,11.5,10.0,9.0,9.2,10.0,9.8,9.5,11.0,9.8,10.0,12.0,9.8,9.5,9.5,9.8
72,DSO,60.0,,90.0,,90.0,,,,,,,,,,,,,,,,,,,,,,
73,Quantity,,100.0,,95.0,,90.0,100.0,70.0,80.0,100.0,70.0,75.0,100.0,70.0,75.0,100.0,125.0,90.0,100.0,125.0,140.0,110.0,95.0,100.0,100.0,95.0,90.0
73,Price,,10.0,,10.0,,9.8,10.0,12.0,11.0,10.0,12.0,12.3,10.0,12.0,12.3,10.0,9.5,9.8,10.0,9.5,8.8,9.5,10.0,9.0,10.0,10.0,9.8
73,DSO,60.0,,45.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
74,Quantity,,100.0,,125.0,,75.0,90.0,125.0,90.0,110.0,125.0,100.0,110.0,95.0,90.0,100.0,70.0,80.0,90.0,70.0,75.0,80.0,70.0,75.0,80.0,130.0,90.0
74,Price,,10.0,,9.5,,12.3,10.5,9.5,9.8,9.5,9.5,9.0,9.5,10.0,9.8,10.0,12.0,11.0,10.5,12.0,12.3,11.5,12.0,12.3,11.5,9.0,9.8
74,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
75,Quantity,,90.0,,70.0,,90.0,110.0,95.0,140.0,100.0,95.0,90.0,80.0,95.0,140.0,90.0,95.0,140.0,100.0,95.0,90.0,100.0,130.0,90.0,120.0,95.0,140.0
75,Price,,10.5,,12.0,,9.8,9.5,10.0,8.8,10.0,10.0,9.8,11.5,10.0,8.8,10.5,10.0,8.8,10.0,10.0,9.8,10.0,9.0,9.8,9.2,10.0,8.8
75,DSO,90.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
76,Quantity,,110.0,,95.0,,100.0,100.0,95.0,90.0,80.0,95.0,90.0,100.0,130.0,90.0,120.0,95.0,90.0,110.0,95.0,90.0,100.0,95.0,90.0,100.0,80.0,75.0
76,Price,,9.5,,10.0,,9.0,10.0,10.0,9.8,11.5,10.0,9.8,10.0,9.0,9.8,9.2,10.0,9.8,9.5,10.0,9.8,10.0,10.0,9.8,10.0,11.0,12.3
76,DSO,60.0,,60.0,,45.0,,,,,,,,,,,,,,,,,,,,,,
77,Quantity,,80.0,,95.0,,90.0,110.0,95.0,100.0,120.0,95.0,90.0,90.0,95.0,90.0,110.0,95.0,90.0,100.0,130.0,100.0,120.0,125.0,90.0,100.0,95.0,100.0
77,Price,,11.5,,10.0,,9.8,9.5,10.0,9.0,9.2,10.0,9.8,10.5,10.0,9.8,9.5,10.0,9.8,10.0,9.0,9.0,9.2,9.5,9.8,10.0,10.0,9.0
77,DSO,60.0,,90.0,,45.0,,,,,,,,,,,,,,,,,,,,,,
78,Quantity,,120.0,,70.0,,75.0,100.0,95.0,90.0,100.0,95.0,90.0,100.0,80.0,100.0,80.0,95.0,100.0,120.0,80.0,80.0,90.0,95.0,90.0,110.0,70.0,75.0
78,Price,,9.2,,12.0,,12.3,10.0,10.0,9.8,10.0,10.0,9.8,10.0,11.0,9.0,11.5,10.0,9.0,9.2,11.0,11.0,10.5,10.0,9.8,9.5,12.0,12.3
78,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
79,Quantity,,100.0,,130.0,,90.0,100.0,80.0,75.0,80.0,70.0,100.0,100.0,125.0,90.0,100.0,80.0,75.0,100.0,95.0,90.0,100.0,95.0,80.0,90.0,95.0,90.0
79,Price,,10.0,,9.0,,9.8,10.0,11.0,12.3,11.5,12.0,9.0,10.0,9.5,9.8,10.0,11.0,12.3,10.0,10.0,9.8,10.0,10.0,11.0,10.5,10.0,9.8
79,DSO,60.0,,60.0,,90.0,,,,,,,,,,,,,,,,,,,,,,
80,Quantity,,100.0,,95.0,,100.0,80.0,130.0,90.0,100.0,130.0,80.0,120.0,95.0,80.0,100.0,125.0,90.0,80.0,95.0,90.0,100.0,80.0,140.0,100.0,125.0,90.0
80,Price,,10.0,,10.0,,9.0,11.5,9.0,9.8,10.0,9.0,11.0,9.2,10.0,11.0,10.0,9.5,9.8,11.5,10.0,9.8,10.0,11.0,8.8,10.0,9.5,9.8
80,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
81,Quantity,,100.0,,95.0,,80.0,100.0,80.0,90.0,80.0,130.0,90.0,80.0,95.0,90.0,110.0,130.0,140.0,100.0,95.0,75.0,100.0,80.0,90.0,100.0,95.0,90.0
81,Price,,10.0,,10.0,,11.0,10.0,11.0,9.8,11.5,9.0,9.8,11.5,10.0,9.8,9.5,9.0,8.8,10.0,10.0,12.3,10.0,11.0,9.8,10.0,10.0,9.8
81,DSO,45.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
82,Quantity,,100.0,,70.0,,90.0,120.0,130.0,75.0,100.0,70.0,90.0,100.0,130.0,75.0,80.0,70.0,90.0,80.0,95.0,140.0,100.0,95.0,90.0,110.0,125.0,90.0
82,Price,,10.0,,12.0,,9.8,9.2,9.0,12.3,10.0,12.0,9.8,10.0,9.0,12.3,11.5,12.0,9.8,11.5,10.0,8.8,10.0,10.0,9.8,9.5,9.5,9.8
82,DSO,60.0,,45.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
83,Quantity,,80.0,,125.0,,140.0,80.0,95.0,90.0,110.0,95.0,140.0,100.0,70.0,90.0,100.0,95.0,90.0,100.0,125.0,90.0,80.0,95.0,100.0,90.0,95.0,75.0
83,Price,,11.5,,9.5,,8.8,11.5,10.0,9.8,9.5,10.0,8.8,10.0,12.0,9.8,10.0,10.0,9.8,10.0,9.5,9.8,11.5,10.0,9.0,10.5,10.0,12.3
83,DSO,90.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
84,Quantity,,120.0,,95.0,,90.0,100.0,95.0,140.0,100.0,95.0,75.0,110.0,95.0,100.0,100.0,95.0,75.0,120.0,70.0,90.0,110.0,125.0,80.0,100.0,70.0,100.0
84,Price,,9.2,,10.0,,9.8,10.0,10.0,8.8,10.0,10.0,12.3,9.5,10.0,9.0,10.0,10.0,12.3,9.2,12.0,9.8,9.5,9.5,11.0,10.0,12.0,9.0
84,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
85,Quantity,,80.0,,95.0,,75.0,90.0,95.0,90.0,100.0,95.0,75.0,100.0,125.0,100.0,100.0,95.0,75.0,100.0,95.0,80.0,100.0,95.0,75.0,100.0,95.0,80.0
85,Price,,11.5,,10.0,,12.3,10.5,10.0,9.8,10.0,10.0,12.3,10.0,9.5,9.0,10.0,10.0,12.3,10.0,10.0,11.0,10.0,10.0,12.3,10.0,10.0,11.0
85,DSO,60.0,,60.0,,90.0,,,,,,,,,,,,,,,,,,,,,,
86,Quantity,,110.0,,130.0,,90.0,100.0,95.0,100.0,90.0,95.0,100.0,120.0,95.0,90.0,100.0,95.0,90.0,110.0,95.0,100.0,100.0,130.0,100.0,80.0,70.0,140.0
86,Price,,9.5,,9.0,,9.8,10.0,10.0,9.0,10.5,10.0,9.0,9.2,10.0,9.8,10.0,10.0,9.8,9.5,10.0,9.0,10.0,9.0,9.0,11.5,12.0,8.8
86,DSO,90.0,,90.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
87,Quantity,,100.0,,80.0,,100.0,100.0,70.0,90.0,100.0,125.0,90.0,80.0,95.0,75.0,90.0,80.0,90.0,100.0,130.0,90.0,90.0,70.0,90.0,120.0,95.0,90.0
87,Price,,10.0,,11.0,,9.0,10.0,12.0,9.8,10.0,9.5,9.8,11.5,10.0,12.3,10.5,11.0,9.8,10.0,9.0,9.8,10.5,12.0,9.8,9.2,10.0,9.8
87,DSO,60.0,,60.0,,45.0,,,,,,,,,,,,,,,,,,,,,,
88,Quantity,,100.0,,95.0,,90.0,110.0,125.0,75.0,110.0,80.0,90.0,100.0,80.0,90.0,110.0,125.0,100.0,80.0,80.0,90.0,120.0,95.0,90.0,100.0,125.0,90.0
88,Price,,10.0,,10.0,,9.8,9.5,9.5,12.3,9.5,11.0,9.8,10.0,11.0,9.8,9.5,9.5,9.0,11.5,11.0,9.8,9.2,10.0,9.8,10.0,9.5,9.8
88,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
89,Quantity,,80.0,,130.0,,90.0,90.0,95.0,90.0,100.0,80.0,90.0,120.0,95.0,90.0,100.0,95.0,80.0,100.0,125.0,75.0,100.0,70.0,75.0,80.0,95.0,90.0
89,Price,,11.5,,9.0,,9.8,10.5,10.0,9.8,10.0,11.0,9.8,9.2,10.0,9.8,10.0,10.0,11.0,10.0,9.5,12.3,10.0,12.0,12.3,11.5,10.0,9.8
89,DSO,60.0,,60.0,,45.0,,,,,,,,,,,,,,,,,,,,,,
90,Quantity,,120.0,,95.0,,140.0,100.0,95.0,100.0,120.0,125.0,90.0,100.0,80.0,140.0,100.0,95.0,90.0,110.0,70.0,100.0,100.0,95.0,100.0,100.0,125.0,90.0
90,Price,,9.2,,10.0,,8.8,10.0,10.0,9.0,9.2,9.5,9.8,10.0,11.0,8.8,10.0,10.0,9.8,9.5,12.0,9.0,10.0,10.0,9.0,10.0,9.5,9.8
90,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
91,Quantity,,100.0,,95.0,,90.0,100.0,70.0,90.0,100.0,95.0,140.0,100.0,125.0,90.0,80.0,130.0,90.0,100.0,95.0,90.0,120.0,95.0,90.0,100.0,95.0,100.0
91,Price,,10.0,,10.0,,9.8,10.0,12.0,9.8,10.0,10.0,8.8,10.0,9.5,9.8,11.5,9.0,9.8,10.0,10.0,9.8,9.2,10.0,9.8,10.0,10.0,9.0
91,DSO,90.0,,45.0,,90.0,,,,,,,,,,,,,,,,,,,,,,
92,Quantity,,100.0,,80.0,,80.0,110.0,125.0,75.0,80.0,95.0,80.0,90.0,95.0,75.0,120.0,70.0,140.0,90.0,95.0,90.0,80.0,125.0,90.0,120.0,70.0,75.0
92,Price,,10.0,,11.0,,11.0,9.5,9.5,12.3,11.5,10.0,11.0,10.5,10.0,12.3,9.2,12.0,8.8,10.5,10.0,9.8,11.5,9.5,9.8,9.2,12.0,12.3
92,DSO,60.0,,90.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
93,Quantity,,100.0,,70.0,,90.0,100.0,70.0,90.0,110.0,95.0,75.0,100.0,70.0,80.0,110.0,80.0,100.0,100.0,130.0,75.0,100.0,95.0,90.0,110.0,95.0,140.0
93,Price,,10.0,,12.0,,9.8,10.0,12.0,9.8,9.5,10.0,12.3,10.0,12.0,11.0,9.5,11.0,9.0,10.0,9.0,12.3,10.0,10.0,9.8,9.5,10.0,8.8
93,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
94,Quantity,,100.0,,95.0,,100.0,120.0,125.0,80.0,100.0,95.0,100.0,80.0,95.0,90.0,80.0,125.0,90.0,80.0,80.0,100.0,100.0,125.0,90.0,100.0,80.0,80.0
94,Price,,10.0,,10.0,,9.0,9.2,9.5,11.0,10.0,10.0,9.0,11.5,10.0,9.8,11.5,9.5,9.8,11.5,11.0,9.0,10.0,9.5,9.8,10.0,11.0,11.0
94,DSO,90.0,,60.0,,90.0,,,,,,,,,,,,,,,,,,,,,,
95,Quantity,,90.0,,95.0,,90.0,80.0,95.0,90.0,90.0,70.0,90.0,110.0,95.0,100.0,100.0,95.0,90.0,100.0,95.0,90.0,110.0,70.0,140.0,100.0,95.0,90.0
95,Price,,10.5,,10.0,,9.8,11.5,10.0,9.8,10.5,12.0,9.8,9.5,10.0,9.0,10.0,10.0,9.8,10.0,10.0,9.8,9.5,12.0,8.8,10.0,10.0,9.8
95,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
96,Quantity,,110.0,,125.0,,75.0,100.0,95.0,140.0,100.0,130.0,90.0,100.0,130.0,90.0,100.0,95.0,75.0,110.0,95.0,90.0,80.0,95.0,80.0,90.0,130.0,90.0
96,Price,,9.5,,9.5,,12.3,10.0,10.0,8.8,10.0,9.0,9.8,10.0,9.0,9.8,10.0,10.0,12.3,9.5,10.0,9.8,11.5,10.0,11.0,10.5,9.0,9.8
96,DSO,45.0,,45.0,,45.0,,,,,,,,,,,,,,,,,,,,,,
97,Quantity,,100.0,,95.0,,80.0,80.0,95.0,75.0,90.0,95.0,90.0,110.0,70.0,75.0,110.0,95.0,90.0,80.0,95.0,90.0,110.0,125.0,140.0,120.0,95.0,90.0
97,Price,,10.0,,10.0,,11.0,11.5,10.0,12.3,10.5,10.0,9.8,9.5,12.0,12.3,9.5,10.0,9.8,11.5,10.0,9.8,9.5,9.5,8.8,9.2,10.0,9.8
97,DSO,45.0,,60.0,,90.0,,,,,,,,,,,,,,,,,,,,,,
98,Quantity,,100.0,,80.0,,90.0,100.0,95.0,90.0,100.0,95.0,90.0,100.0,95.0,90.0,80.0,95.0,140.0,100.0,95.0,90.0,80.0,95.0,80.0,100.0,125.0,90.0
98,Price,,10.0,,11.0,,9.8,10.0,10.0,9.8,10.0,10.0,9.8,10.0,10.0,9.8,11.5,10.0,8.8,10.0,10.0,9.8,11.5,10.0,11.0,10.0,9.5,9.8
98,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
99,Quantity,,90.0,,130.0,,140.0,100.0,125.0,140.0,110.0,80.0,80.0,100.0,95.0,100.0,100.0,125.0,80.0,110.0,70.0,100.0,100.0,95.0,90.0,100.0,95.0,75.0
99,Price,,10.5,,9.0,,8.8,10.0,9.5,8.8,9.5,11.0,11.0,10.0,10.0,9.0,10.0,9.5,11.0,9.5,12.0,9.0,10.0,10.0,9.8,10.0,10.0,12.3
99,DSO,90.0,,45.0,,45.0,,,,,,,,,,,,,,,,,,,,,,
100,Quantity,,110.0,,95.0,,90.0,120.0,70.0,90.0,100.0,125.0,100.0,80.0,130.0,90.0,100.0,70.0,90.0,100.0,125.0,80.0,100.0,70.0,90.0,80.0,70.0,100.0
100,Price,,9.5,,10.0,,9.8,9.2,12.0,9.8,10.0,9.5,9.0,11.5,9.0,9.8,10.0,12.0,9.8,10.0,9.5,11.0,10.0,12.0,9.8,11.5,12.0,9.0
100,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
101,Quantity,,80.0,,95.0,,75.0,100.0,125.0,100.0,100.0,70.0,100.0,100.0,95.0,90.0,100.0,70.0,90.0,120.0,95.0,90.0,120.0,95.0,90.0,90.0,95.0,80.0
101,Price,,11.5,,10.0,,12.3,10.0,9.5,9.0,10.0,12.0,9.0,10.0,10.0,9.8,10.0,12.0,9.8,9.2,10.0,9.8,9.2,10.0,9.8,10.5,10.0,11.0
101,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
102,Quantity,,120.0,,125.0,,90.0,110.0,70.0,90.0,80.0,130.0,75.0,90.0,80.0,140.0,100.0,130.0,75.0,100.0,95.0,90.0,90.0,80.0,90.0,100.0,80.0,140.0
102,Price,,9.2,,9.5,,9.8,9.5,12.0,9.8,11.5,9.0,12.3,10.5,11.0,8.8,10.0,9.0,12.3,10.0,10.0,9.8,10.5,11.0,9.8,10.0,11.0,8.8
102,DSO,90.0,,60.0,,45.0,,,,,,,,,,,,,,,,,,,,,,
103,Quantity,,100.0,,70.0,,100.0,90.0,95.0,75.0,100.0,95.0,90.0,110.0,125.0,90.0,80.0,95.0,100.0,80.0,80.0,140.0,100.0,125.0,75.0,100.0,95.0,90.0
103,Price,,10.0,,12.0,,9.0,10.5,10.0,12.3,10.0,10.0,9.8,9.5,9.5,9.8,11.5,10.0,9.0,11.5,11.0,8.8,10.0,9.5,12.3,10.0,10.0,9.8
103,DSO,60.0,,90.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
104,Quantity,,100.0,,95.0,,90.0,100.0,95.0,90.0,110.0,95.0,90.0,100.0,95.0,75.0,120.0,95.0,90.0,100.0,125.0,75.0,100.0,95.0,100.0,110.0,130.0,90.0
104,Price,,10.0,,10.0,,9.8,10.0,10.0,9.8,9.5,10.0,9.8,10.0,10.0,12.3,9.2,10.0,9.8,10.0,9.5,12.3,10.0,10.0,9.0,9.5,9.0,9.8
104,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
105,Quantity,,90.0,,125.0,,90.0,100.0,130.0,100.0,100.0,95.0,90.0,90.0,125.0,100.0,100.0,125.0,90.0,110.0,70.0,90.0,90.0,125.0,90.0,100.0,95.0,90.0
105,Price,,10.5,,9.5,,9.8,10.0,9.0,9.0,10.0,10.0,9.8,10.5,9.5,9.0,10.0,9.5,9.8,9.5,12.0,9.8,10.5,9.5,9.8,10.0,10.0,9.8
105,DSO,60.0,,90.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
106,Quantity,,110.0,,95.0,,140.0,110.0,80.0,90.0,110.0,95.0,90.0,100.0,95.0,90.0,100.0,80.0,80.0,100.0,125.0,90.0,110.0,95.0,90.0,90.0,125.0,90.0
